type,title,cover,author,authorImg,authorWork,authorWords,authorDays,monthRead,monthFlower,allRead,allFlower,wordNum,updateTicket,reward,monthTicker,shareNum,rate,startTime,updateTime,detailLink
玄幻奇幻,洪荒：我真的没得选择！,http://img.faloo.com/Novel/498x705/0/860/000860721.jpg,缺月梧桐,http://photo.faloo.com/160x120/0/384/384963.jpg,6,21570000,2975,150599,2039,28422817,795530,6036291,139,146000.0,0,12,9.9,2020-07-08,2024-12-07,https://b.faloo.com/791470.html
玄幻奇幻,金榜：神帝修为被曝光，女帝破防,http://img.faloo.com/Novel/498x705/1/1551/001551548.jpg,繁华年代,//photo.faloo.com/default.jpg,1,180000,1850,149655,1307,585270,225,152202,0,0.0,0,0,0,2024-11-04,2024-12-07,https://b.faloo.com/1451171.html
玄幻奇幻,在神话世界登陆玄幻游戏,http://img.faloo.com/Novel/498x705/0/183/000183340.jpg,金刚葫芦娃,//photo.faloo.com/default.jpg,71,250000,2284,151167,2041,43077715,2342440,7877032,1863,695000.0,0,262,9.9,2017-08-25,2024-12-07,https://b.faloo.com/456262.html
玄幻奇幻,黑神话这所谓的天命我可不认,http://img.faloo.com/Novel/498x705/1/1398/001398892.jpg,耍的一手芦花枪,//photo.faloo.com/default.jpg,1,520000,727,122395,2031,2261893,891,522964,0,0.0,0,0,0,2024-08-27,2024-11-29,https://b.faloo.com/1439255.html
玄幻奇幻,加入聊天群的我被当成高人,http://img.faloo.com/Novel/498x705/0/515/000515350.jpg,浑身是肝,//photo.faloo.com/default.jpg,4,18230000,1992,149136,2065,15434944,255739,4632953,243,709000.0,0,1,9.9,2020-07-25,2024-12-08,https://b.faloo.com/801188.html
玄幻奇幻,运朝：开局获得三千锦衣仙卫,http://img.faloo.com/Novel/498x705/0/679/000679124.jpg,青瓜堂欧阳,//photo.faloo.com/default.jpg,54,16240000,1334,151074,2030,20296728,68792,6346889,26,516000.0,0,0,9.9,2021-06-16,2024-12-07,https://b.faloo.com/975667.html
玄幻奇幻,洪荒：开局就是封神大战,http://img.faloo.com/Novel/498x705/0/454/000454126.jpg,吃土老牛,//photo.faloo.com/default.jpg,57,180000,2285,151050,2029,23832908,94208,5129084,7,2376.0,0,18,9.9,2020-04-10,2024-12-07,https://b.faloo.com/732463.html
玄幻奇幻,洪荒：开局选择献祭盘古精血,http://img.faloo.com/Novel/498x705/0/610/000610046.jpg,献祭青帝,//photo.faloo.com/default.jpg,2,4080000,1827,151241,2031,15558358,44247,4011228,9,3340.0,0,0,9.9,2021-02-07,2024-12-07,https://b.faloo.com/903602.html
玄幻奇幻,人在截教，我的机缘遍布洪荒！,http://img.faloo.com/Novel/498x705/1/1069/001069807.jpg,一江冲天,//photo.faloo.com/default.jpg,4,5920000,411,150045,2028,8126382,45325,2347006,0,130000.0,0,0,9.9,2023-11-05,2024-12-07,https://b.faloo.com/1368642.html
玄幻奇幻,黑神话:我天命人踏碎凌霄,http://img.faloo.com/Novel/498x705/1/1547/001547236.jpg,一壶浊酒问清风,http://photo.faloo.com/160x120/0/858/858846.jpg,2,1430000,349,150017,2476,870722,2556,182980,0,0.0,0,0,10,2024-10-30,2024-12-07,https://b.faloo.com/1450188.html
